year,min_renta_hipoteca,interes,alquiler_medio,inflacion,cambio_poblacional,sueldo_medio,pib_per_capita,viviendas_venta,pct_alquiler,viviendas_vacias,nuevas_construcciones,precio_medio_vivienda,indice_catastrofes,ratio_comprador_vivienda
2001-05-31,1018.5,0.0584,433.44,0.0226,0.00112,1253.51,16822.56,306694.0,0.155,3020067.0,41337.0,1583.72,0.0,3.44
2001-06-30,1018.69,0.0582,435.54,0.0133,0.0014,1256.86,16929.68,307113.0,0.155,3021321.0,41420.0,1605.32,0.0,3.49
2001-07-31,1018.87,0.058,437.63,0.0161,0.00112,1260.2,17035.61,307532.0,0.155,3022575.0,41504.0,1626.51,0.0,3.55
2001-08-31,1019.03,0.0578,439.72,0.0104,0.00062,1263.55,17140.26,307951.0,0.156,3023829.0,41587.0,1647.25,0.0,3.61
2001-09-30,1019.19,0.0575,441.81,0.0278,0.00062,1266.89,17243.59,308371.0,0.156,3025084.0,41670.0,1667.53,0.0,3.66
2001-10-31,1019.33,0.0573,443.9,0.0199,0.00117,1270.23,17345.52,308791.0,0.156,3026338.0,41754.0,1687.32,0.0,3.72
2001-11-30,1019.47,0.057,445.99,0.0198,0.00105,1273.58,17446.02,309210.0,0.156,3027592.0,41837.0,1706.61,0.0,3.77
2001-12-31,1019.59,0.0568,448.08,0.0138,0.00137,1276.92,17545.01,309630.0,0.157,3028846.0,41920.0,1725.37,0.0,3.82
2002-01-31,1019.7,0.0565,450.17,0.0119,0.00129,1280.27,17642.45,310050.0,0.157,3030100.0,42003.0,1743.59,0.0,3.87
2002-02-28,1019.79,0.0562,452.26,0.0241,0.00133,1283.61,17738.28,310471.0,0.157,3031355.0,42086.0,1761.24,0.0,3.92
2002-03-31,1019.88,0.0559,454.35,0.0252,0.00065,1286.96,17832.44,310891.0,0.158,3032609.0,42170.0,1778.31,0.0,3.97
2002-04-30,1019.95,0.0556,456.44,0.0147,0.00102,1290.3,17924.9,311312.0,0.158,3033863.0,42253.0,1794.79,0.0,4.01
2002-05-31,1020.01,0.0553,458.53,0.0267,0.00134,1293.65,18015.61,311732.0,0.158,3035117.0,42336.0,1810.65,0.0,4.06
2002-06-30,1020.06,0.0549,460.62,0.012,0.00061,1296.99,18104.51,312153.0,0.158,3036371.0,42419.0,1825.88,0.0,4.1
2002-07-31,1020.1,0.0546,462.71,0.0116,0.0008,1300.33,18191.56,312575.0,0.159,3037625.0,42502.0,1840.46,0.0,4.14
2002-08-31,1020.12,0.0543,464.8,0.0242,0.00122,1303.68,18276.73,312996.0,0.159,3038880.0,42585.0,1854.38,0.0,4.18
2002-09-30,1020.13,0.0539,466.89,0.0297,0.00053,1307.02,18359.98,313418.0,0.159,3040134.0,42668.0,1867.63,0.0,4.22
2002-10-31,1020.13,0.0535,468.98,0.0284,0.00065,1310.37,18441.26,313840.0,0.16,3041388.0,42750.0,1880.19,0.0,4.25
2002-11-30,1020.12,0.0532,471.07,0.0291,0.00086,1313.71,18520.54,314262.0,0.16,3042642.0,42833.0,1892.06,0.0,4.28
2002-12-31,1020.09,0.0528,473.16,0.0141,0.00093,1317.06,18597.8,314684.0,0.16,3043896.0,42916.0,1903.21,0.0,4.31
2003-01-31,1020.05,0.0524,475.25,0.0232,0.00069,1320.4,18672.99,315107.0,0.161,3045151.0,42999.0,1913.64,0.0,4.34
2003-02-28,1020.0,0.052,477.34,0.0187,0.00148,1323.75,18746.1,315530.0,0.161,3046405.0,43081.0,1923.34,0.0,4.37
2003-03-31,1019.93,0.0516,479.43,0.0277,0.00095,1327.09,18817.09,315953.0,0.161,3047659.0,43164.0,1932.3,0.0,4.39
2003-04-30,1019.86,0.0512,481.52,0.015,0.00055,1330.43,18885.95,316376.0,0.161,3048913.0,43246.0,1940.52,0.0,4.42
2003-05-31,1019.77,0.0507,483.61,0.0255,0.00123,1333.78,18952.64,316800.0,0.162,3050167.0,43329.0,1947.97,0.3,4.44
2003-06-30,1019.67,0.0503,485.7,0.0243,0.0011,1337.12,19017.16,317224.0,0.162,3051421.0,43411.0,1954.67,0.3,4.46
2003-07-31,1019.56,0.0499,487.79,0.0121,0.001,1340.47,19079.49,317649.0,0.162,3052676.0,43494.0,1960.6,0.0,4.47
2003-08-31,1019.44,0.0495,489.88,0.0203,0.00052,1343.81,19139.62,318073.0,0.163,3053930.0,43576.0,1965.75,0.0,4.49
2003-09-30,1019.31,0.049,491.97,0.0102,0.00137,1347.16,19197.52,318498.0,0.163,3055184.0,43658.0,1970.14,0.0,4.5
2003-10-31,1019.17,0.0486,494.06,0.0126,0.0012,1350.5,19253.2,318923.0,0.163,3056438.0,43740.0,1973.74,0.0,4.51
2003-11-30,1019.01,0.0481,496.15,0.021,0.0013,1353.85,19306.65,319349.0,0.163,3057692.0,43822.0,1976.56,0.0,4.52
2003-12-31,1018.85,0.0476,498.24,0.0147,0.00147,1357.19,19357.86,319775.0,0.164,3058946.0,43905.0,1978.59,0.0,4.52
2004-01-31,1018.68,0.0472,500.33,0.0171,0.00083,1360.54,19406.83,320201.0,0.164,3060201.0,43986.0,1979.85,0.0,4.53
2004-02-29,1018.5,0.0467,502.42,0.0148,0.001,1363.88,19453.57,320628.0,0.164,3061455.0,44068.0,1980.32,0.0,4.53
2004-03-31,1018.31,0.0462,504.52,0.0125,0.00102,1367.22,19498.08,321055.0,0.165,3062709.0,44150.0,1980.01,0.0,4.53
2004-04-30,1018.11,0.0457,506.61,0.0184,0.00116,1370.57,19540.36,321482.0,0.165,3063963.0,44232.0,1978.93,0.0,4.52
2004-05-31,1017.9,0.0453,508.7,0.0121,0.00087,1373.91,19580.43,321910.0,0.165,3065217.0,44314.0,1977.06,0.0,4.52
2004-06-30,1017.68,0.0448,510.79,0.012,0.00131,1377.26,19618.29,322338.0,0.166,3066472.0,44395.0,1974.43,0.0,4.51
2004-07-31,1017.46,0.0443,512.88,0.0129,0.00107,1380.6,19653.95,322767.0,0.166,3067726.0,44477.0,1971.02,0.0,4.5
2004-08-31,1017.23,0.0438,514.97,0.0256,0.00135,1383.95,19687.45,323195.0,0.166,3068980.0,44558.0,1966.86,0.0,4.49
2004-09-30,1016.99,0.0433,517.06,0.0186,0.00139,1387.29,19718.78,323625.0,0.166,3070234.0,44640.0,1961.94,0.0,4.48
2004-10-31,1016.75,0.0428,519.15,0.0205,0.0006,1390.64,19747.99,324054.0,0.167,3071488.0,44721.0,1956.28,0.0,4.46
2004-11-30,1016.5,0.0423,521.24,0.0292,0.00104,1393.98,19775.07,324484.0,0.167,3072742.0,44802.0,1949.87,0.0,4.44
2004-12-31,1016.25,0.0418,523.33,0.0114,0.0013,1397.32,19800.08,324915.0,0.167,3073997.0,44883.0,1942.74,0.0,4.42
2005-01-31,1015.99,0.0413,525.42,0.0154,0.00076,1400.67,19823.02,325346.0,0.168,3075251.0,44964.0,1934.88,0.0,4.4
2005-02-28,1015.72,0.0408,527.51,0.0121,0.00068,1404.01,19843.94,325777.0,0.168,3076505.0,45045.0,1926.31,0.0,4.38
2005-03-31,1015.46,0.0403,529.6,0.0242,0.00118,1407.36,19862.86,326209.0,0.168,3077759.0,45126.0,1917.05,0.0,4.35
2005-04-30,1015.18,0.0398,531.69,0.0175,0.00071,1410.7,19879.82,326641.0,0.168,3079013.0,45207.0,1907.1,0.0,4.32
2005-05-31,1014.91,0.0393,533.78,0.0155,0.00125,1414.05,19894.86,327074.0,0.169,3080268.0,45288.0,1896.48,0.0,4.29
2005-06-30,1014.63,0.0388,535.87,0.0121,0.00139,1417.39,19908.01,327507.0,0.169,3081522.0,45368.0,1885.2,0.0,4.26
2005-07-31,1014.35,0.0383,537.96,0.0172,0.00136,1420.74,19919.33,327941.0,0.169,3082776.0,45449.0,1873.27,0.0,4.23
2005-08-31,1014.07,0.0378,540.05,0.0175,0.00105,1424.08,19928.84,328375.0,0.17,3084030.0,45529.0,1860.71,0.0,4.19
2005-09-30,1013.79,0.0373,542.14,0.0225,0.00106,1427.42,19936.6,328809.0,0.17,3085284.0,45609.0,1847.54,0.0,4.15
2005-10-31,1013.5,0.0368,544.23,0.0134,0.00078,1430.77,19942.65,329245.0,0.17,3086538.0,45690.0,1833.78,0.0,4.11
2005-11-30,1013.22,0.0363,546.32,0.0276,0.00092,1434.11,19947.05,329680.0,0.17,3087793.0,45770.0,1819.43,0.0,4.07
2005-12-31,1012.93,0.0358,548.41,0.0257,0.00083,1437.46,19949.85,330116.0,0.171,3089047.0,45850.0,1804.52,0.0,4.03
2006-01-31,1012.64,0.0353,550.5,0.0237,0.00062,1440.8,19951.09,330553.0,0.171,3090301.0,45930.0,1789.07,0.0,3.99
2006-02-28,1012.36,0.0349,552.59,0.0133,0.00136,1444.15,19950.83,330990.0,0.171,3091555.0,46009.0,1773.09,0.0,3.94
2006-03-31,1012.07,0.0344,554.68,0.0267,0.00106,1447.49,19949.13,331428.0,0.172,3092809.0,46089.0,1756.61,0.0,3.89
2006-04-30,1011.79,0.0339,556.77,0.0251,0.00141,1450.84,19946.05,331866.0,0.172,3094064.0,46169.0,1739.65,0.0,3.84
2006-05-31,1011.51,0.0334,558.86,0.0185,0.00075,1454.18,19941.64,332304.0,0.172,3095318.0,46248.0,1722.22,0.0,3.79
2006-06-30,1011.23,0.0329,560.95,0.023,0.00089,1457.53,19935.97,332744.0,0.173,3096572.0,46328.0,1704.35,0.0,3.74
2006-07-31,1010.95,0.0325,563.04,0.0174,0.00073,1460.87,19929.11,333184.0,0.173,3097826.0,46407.0,1686.06,0.0,3.69
2006-08-31,1010.68,0.032,565.13,0.0158,0.00063,1464.21,19921.1,333624.0,0.173,3099080.0,46486.0,1667.37,0.0,3.64
2006-09-30,1010.4,0.0316,567.22,0.0102,0.00111,1467.56,19912.02,334065.0,0.173,3100334.0,46565.0,1648.31,0.0,3.58
2006-10-31,1010.13,0.0311,569.31,0.0185,0.00138,1470.9,19901.94,334506.0,0.174,3101589.0,46644.0,1628.89,0.0,3.53
2006-11-30,1009.87,0.0307,571.4,0.0135,0.00059,1474.25,19890.92,334948.0,0.174,3102843.0,46723.0,1609.15,0.0,3.47
2006-12-31,1009.6,0.0302,573.49,0.0122,0.00103,1477.59,19879.04,335391.0,0.174,3104097.0,46801.0,1589.1,0.0,3.41
2007-01-31,1009.34,0.0298,575.59,0.02,0.00107,1480.94,19866.35,335834.0,0.175,3105351.0,46880.0,1568.77,0.0,3.35
2007-02-28,1009.09,0.0294,577.68,0.0213,0.00146,1484.28,19852.93,336278.0,0.175,3106605.0,46958.0,1548.19,0.0,3.3
2007-03-31,1008.84,0.0289,579.77,0.0182,0.00073,1487.63,19838.85,336723.0,0.175,3107860.0,47037.0,1527.38,0.0,3.24
2007-04-30,1008.59,0.0285,581.86,0.0169,0.00075,1490.97,19824.19,337168.0,0.175,3109114.0,47115.0,1506.36,0.0,3.17
2007-05-31,1008.35,0.0281,583.95,0.0282,0.00063,1494.31,19809.01,337614.0,0.176,3110368.0,47193.0,1485.16,0.0,3.11
2007-06-30,1008.11,0.0277,586.04,0.0222,0.00055,1497.66,19793.4,338060.0,0.176,3111622.0,47271.0,1463.81,0.0,3.05
2007-07-31,1007.88,0.0273,588.13,0.0203,0.00125,1501.0,19777.41,338507.0,0.176,3112876.0,47349.0,1442.33,0.0,2.99
2007-08-31,1007.65,0.0269,590.22,0.0254,0.00086,1504.35,19761.13,338955.0,0.177,3114130.0,47426.0,1420.74,0.0,2.93
2007-09-30,1007.43,0.0266,592.31,0.0108,0.00106,1507.69,19744.63,339403.0,0.177,3115385.0,47504.0,1399.08,0.0,2.86
2007-10-31,1007.22,0.0262,594.4,0.0293,0.00109,1511.04,19727.99,339852.0,0.177,3116639.0,47581.0,1377.37,0.0,2.8
2007-11-30,1007.0,0.0258,596.49,0.0123,0.00056,1514.38,19711.28,340301.0,0.178,3117893.0,47659.0,1355.64,0.0,2.74
2007-12-31,1006.8,0.0255,598.58,0.0148,0.00149,1517.73,19694.57,340752.0,0.178,3119147.0,47736.0,1333.9,0.0,2.67
2008-01-31,1006.6,0.0251,600.67,0.0227,0.00133,1521.07,19677.94,341203.0,0.178,3120401.0,47813.0,1312.2,0.0,2.61
2008-02-29,1006.4,0.0248,602.76,0.0121,0.00099,1524.41,19661.47,341654.0,0.178,3121656.0,47890.0,1290.54,0.0,2.55
2008-03-31,1006.22,0.0245,604.85,0.0181,0.00123,1527.76,19645.23,342106.0,0.179,3122910.0,47967.0,1268.97,0.0,2.48
2008-04-30,1006.03,0.0242,606.94,0.0227,0.00059,1531.1,19629.29,342559.0,0.179,3124164.0,48043.0,1247.51,0.0,2.42
2008-05-31,1002.31,0.0094,609.03,0.02,0.00061,1534.45,19613.72,547874.0,0.179,3125418.0,7148.0,1226.17,0.7,2.5
2008-06-30,1000.36,0.0015,611.12,0.0264,0.00142,1537.79,19598.61,544699.0,0.18,3126672.0,7950.0,1205.0,0.7,2.52
2008-07-31,1000.77,0.0033,613.21,0.0135,0.00094,1541.14,19584.02,555493.0,0.18,3127926.0,5958.0,1184.01,0.7,2.43
2008-08-31,1000.79,0.0034,615.3,0.0257,0.00103,1544.48,19570.03,548399.0,0.18,3129181.0,7544.0,1163.22,0.7,2.37
2008-09-30,1000.48,0.0021,617.39,0.028,0.00082,1547.83,19556.7,554457.0,0.18,3130435.0,6500.0,1142.67,0.7,2.32
2008-10-31,1001.1,0.0049,619.48,0.0243,0.00118,1551.17,19544.12,552073.0,0.181,3131689.0,7144.0,1122.38,0.7,2.23
2008-11-30,1001.2,0.0055,621.57,0.0169,0.00061,1554.52,19532.34,551710.0,0.181,3132943.0,7384.0,1102.37,0.0,2.16
2008-12-31,1001.65,0.0076,623.66,0.0141,0.00134,1557.86,19521.44,552070.0,0.181,3134197.0,7479.0,1082.67,0.0,2.08
2009-01-31,1002.07,0.0097,625.75,0.0112,0.00141,1561.2,19511.49,558085.0,0.182,3135452.0,6443.0,1063.3,0.0,2.0
2009-02-28,1000.35,0.0017,627.84,0.0285,0.00066,1564.55,19502.55,563297.0,0.182,3136706.0,5568.0,1044.29,0.0,2.02
2009-03-31,1001.43,0.007,629.93,0.0143,0.00131,1567.89,19494.69,554492.0,0.182,3137960.0,7496.0,1025.65,0.0,1.91
2009-04-30,1000.24,0.0012,632.02,0.0295,0.0005,1571.24,19487.98,554367.0,0.182,3139214.0,7688.0,1007.42,0.0,1.91
2009-05-31,1000.75,0.0038,634.11,0.0226,0.0008,1574.58,19482.48,556443.0,0.183,3140468.0,7441.0,989.6,0.0,1.83
2009-06-30,1000.84,0.0043,636.2,0.0176,0.00093,1577.93,19478.24,566482.0,0.183,3141722.0,5600.0,972.23,0.0,1.77
2009-07-31,1000.45,0.0023,638.29,0.0264,0.0008,1581.27,19475.34,563312.0,0.183,3142977.0,6401.0,955.33,0.0,1.73
2009-08-31,1000.12,0.0006,640.38,0.0163,0.00141,1584.62,19473.83,565659.0,0.184,3144231.0,6099.0,938.92,0.0,1.7
2009-09-30,1000.89,0.0048,642.47,0.0121,0.00096,1587.96,19473.77,568283.0,0.184,3145485.0,5741.0,923.01,0.0,1.61
2009-10-31,1000.52,0.0029,644.57,0.0205,0.00128,1591.3,19475.21,570451.0,0.184,3146739.0,5475.0,907.63,0.0,1.58
2009-11-30,1000.7,0.0039,646.66,0.0121,0.00127,1594.65,19478.22,562073.0,0.185,3147993.0,7318.0,892.79,0.0,1.52
2009-12-31,1001.29,0.0074,648.75,0.021,0.00096,1597.99,19482.83,569140.0,0.185,3149247.0,6072.0,878.52,0.0,1.44
2010-01-31,1000.55,0.0032,650.84,0.0181,0.0012,1601.34,19489.11,567018.0,0.185,3150502.0,6663.0,864.83,0.0,1.44
2010-02-28,1001.42,0.0084,652.93,0.0166,0.00133,1604.68,19497.1,566174.0,0.185,3151756.0,6999.0,851.74,0.0,1.34
2010-03-31,1000.91,0.0054,655.02,0.0295,0.00148,1608.03,19506.85,567882.0,0.186,3153010.0,6825.0,839.27,0.0,1.33
2010-04-30,1000.81,0.0049,657.11,0.0132,0.00057,1611.37,19518.4,577291.0,0.186,3154264.0,5110.0,827.43,0.0,1.3
2010-05-31,1000.83,0.0051,659.2,0.0212,0.00122,1614.72,19531.81,567862.0,0.186,3155518.0,7163.0,816.23,0.0,1.26
2010-06-30,1001.29,0.008,661.29,0.0104,0.00145,1618.06,19547.1,579461.0,0.187,3156773.0,5011.0,805.7,0.0,1.2
2010-07-31,1001.39,0.0087,663.38,0.0276,0.00074,1621.4,19564.32,575905.0,0.187,3158027.0,5889.0,795.84,0.0,1.16
2010-08-31,1000.81,0.0052,665.47,0.0267,0.00053,1624.75,19583.5,570154.0,0.187,3159281.0,7207.0,786.67,0.0,1.16
2010-09-30,1000.19,0.0012,667.56,0.0224,0.00104,1628.09,19604.69,569964.0,0.187,3160535.0,7412.0,778.2,0.0,1.17
2010-10-31,1000.13,0.0008,669.65,0.021,0.00068,1631.44,19627.9,571026.0,0.188,3161789.0,7367.0,770.43,0.0,1.15
2010-11-30,1000.76,0.005,671.74,0.023,0.00058,1634.78,19653.18,583200.0,0.188,3163043.0,5099.0,763.4,0.0,1.08
2010-12-31,1000.25,0.0016,673.83,0.0282,0.00118,1638.13,19680.55,574298.0,0.188,3164298.0,7047.0,757.09,0.0,1.09
2011-01-31,1000.32,0.0021,675.92,0.0192,0.00127,1641.47,19710.03,584283.0,0.189,3165552.0,5217.0,751.52,0.0,1.07
2011-02-28,1000.39,0.0026,678.01,0.0242,0.00059,1644.82,19741.65,573848.0,0.189,3166806.0,7471.0,746.7,0.0,1.04
2011-03-31,1000.57,0.0038,680.1,0.0222,0.0009,1648.16,19775.43,574213.0,0.189,3168060.0,7565.0,742.64,0.0,1.01
2011-04-30,1000.95,0.0064,682.19,0.0224,0.00058,1651.51,19811.39,581668.0,0.19,3169314.0,6242.0,739.34,0.0,0.97
2011-05-31,1000.47,0.0032,684.28,0.0235,0.00101,1654.85,19849.54,575959.0,0.19,3170569.0,7551.0,736.81,0.0,0.99
2011-06-30,1000.79,0.0054,686.37,0.0187,0.00119,1658.19,19889.9,582391.0,0.19,3171823.0,6432.0,735.04,0.0,0.96
2011-07-31,1001.03,0.007,688.46,0.0185,0.00129,1661.54,19932.48,579940.0,0.19,3173077.0,7089.0,734.06,0.0,0.94
2011-08-31,1001.29,0.0088,690.55,0.0167,0.00095,1664.88,19977.28,577138.0,0.191,3174331.0,7817.0,733.85,0.0,0.92
2011-09-30,1000.85,0.0058,692.64,0.0264,-0.00018,1668.23,20024.32,579776.0,0.191,3175585.0,7456.0,734.43,0.0,0.94
2011-10-31,1000.13,0.0009,694.73,0.0209,-0.00021,1671.57,20073.59,580753.0,0.191,3176839.0,7428.0,735.79,0.0,0.99
2011-11-30,1001.39,0.0094,696.82,0.0254,-0.00028,1674.92,20125.1,587289.0,0.192,3178094.0,6288.0,737.93,0.0,0.91
2011-12-31,1000.6,0.004,698.91,0.0132,-0.00021,1678.26,20178.84,579571.0,0.192,3179348.0,7999.0,740.86,0.0,0.96
2012-01-31,1001.28,0.0086,701.0,0.0263,-0.0004,1681.61,20234.82,594581.0,0.192,3180602.0,5164.0,744.56,0.5,0.92
2012-02-29,1000.43,0.0028,703.09,0.0164,-0.00014,1684.95,20293.02,584363.0,0.192,3181856.0,7375.0,749.04,0.5,0.99
2012-03-31,1000.89,0.0059,705.18,0.0128,-0.00017,1688.29,20353.43,584958.0,0.193,3183110.0,7423.0,754.3,0.5,0.97
2012-04-30,1000.21,0.0014,707.27,0.0129,-0.00018,1691.64,20416.05,592801.0,0.193,3184365.0,6022.0,760.33,0.5,1.03
2012-05-31,1001.38,0.009,709.36,0.0126,-0.00025,1694.98,20480.86,597414.0,0.193,3185619.0,5266.0,767.13,0.5,0.97
2012-06-30,1000.65,0.0042,711.45,0.0191,-0.00038,1698.33,20547.85,593673.0,0.194,3186873.0,6182.0,774.69,0.5,1.03
2012-07-31,1000.43,0.0028,713.55,0.0256,-0.00027,1701.67,20616.99,587271.0,0.194,3188127.0,7630.0,783.0,0.0,1.06
2012-08-31,1000.96,0.0061,715.64,0.0156,-9e-05,1705.02,20688.26,588102.0,0.194,3189381.0,7630.0,792.06,0.0,1.05
2012-09-30,1000.08,0.0005,717.73,0.028,-0.00011,1708.36,20761.65,601795.0,0.194,3190635.0,5059.0,801.86,0.0,1.13
2012-10-31,1000.23,0.0014,719.82,0.0153,-0.00031,1711.71,20837.12,597313.0,0.195,3191890.0,6123.0,812.39,0.0,1.15
2012-11-30,1001.35,0.0082,721.91,0.0147,-0.00018,1715.05,20914.64,588858.0,0.195,3193144.0,7981.0,823.64,0.0,1.11
2012-12-31,1001.65,0.0099,724.0,0.0259,-0.00028,1718.39,20994.2,604566.0,0.195,3194398.0,5007.0,835.59,0.0,1.12
2013-01-31,1000.52,0.0031,726.09,0.0297,-0.00017,1721.74,21075.74,602240.0,0.196,3195652.0,5639.0,848.25,0.0,1.22
2013-02-28,1001.35,0.0078,728.18,0.029,-0.0004,1725.08,21159.24,599973.0,0.196,3196906.0,6260.0,861.59,0.0,1.2
2013-03-31,1001.74,0.0099,730.27,0.0279,-0.0004,1728.43,21244.66,597098.0,0.196,3198161.0,7002.0,875.6,0.0,1.22
2013-04-30,1001.4,0.0079,732.36,0.018,-8e-05,1731.77,21331.97,604358.0,0.197,3199415.0,5717.0,890.27,0.0,1.28
2013-05-31,1000.16,0.0009,734.45,0.0246,-0.00011,1735.12,21421.11,599200.0,0.197,3200669.0,6916.0,905.58,0.0,1.39
2013-06-30,1000.76,0.0041,736.54,0.028,-0.00026,1738.46,21512.05,598320.0,0.197,3201923.0,7259.0,921.52,0.0,1.39
2013-07-31,1000.69,0.0037,738.63,0.01,-0.00018,1741.81,21604.74,596369.0,0.197,3203177.0,7816.0,938.08,0.0,1.44
2013-08-31,1000.64,0.0034,740.72,0.0299,-0.00047,1745.15,21699.13,601792.0,0.198,3204431.0,6899.0,955.23,0.0,1.49
2013-09-30,1000.24,0.0012,742.81,0.0126,-0.00018,1748.49,21795.17,597723.0,0.198,3205686.0,7880.0,972.96,0.0,1.56
2013-10-31,1000.82,0.0041,744.9,0.0105,-0.00016,1751.84,21892.82,598432.0,0.198,3206940.0,7906.0,991.25,0.0,1.57
2013-11-30,1000.55,0.0027,746.99,0.0296,-0.00037,1755.18,21992.02,608045.0,0.199,3208194.0,6150.0,1010.08,0.0,1.64
2013-12-31,1000.87,0.0042,749.08,0.0235,-0.00014,1758.53,22092.7,611120.0,0.199,3209448.0,5702.0,1029.44,0.0,1.67
2014-01-31,1001.92,0.0091,751.17,0.0183,-0.00026,1761.87,22194.83,605600.0,0.199,3210702.0,6974.0,1049.29,0.0,1.68
2014-02-28,1000.52,0.0024,753.26,0.0245,-0.00033,1765.22,22298.34,611573.0,0.199,3211957.0,5946.0,1069.64,0.0,1.8
2014-03-31,1001.15,0.0053,755.35,0.0289,0.00114,1768.56,22403.16,614187.0,0.2,3213211.0,5591.0,1090.44,0.0,1.82
2014-04-30,1001.52,0.0069,757.44,0.0285,0.00149,1771.91,22509.25,616424.0,0.2,3214465.0,5311.0,1111.68,0.0,1.86
2014-05-31,1000.68,0.003,759.53,0.0207,0.00057,1775.25,22616.53,615889.0,0.2,3215719.0,5585.0,1133.34,0.0,1.96
2014-06-30,1000.67,0.0029,761.62,0.0228,0.00117,1778.6,22724.94,618242.0,0.201,3216973.0,5281.0,1155.4,0.0,2.02
2014-07-31,1000.16,0.0007,763.71,0.01,0.00082,1781.94,22834.42,617303.0,0.201,3218227.0,5636.0,1177.83,0.0,2.1
2014-08-31,1002.21,0.0092,765.8,0.0174,0.00125,1785.28,22944.9,614912.0,0.201,3219482.0,6282.0,1200.61,0.0,2.07
2014-09-30,1001.02,0.0041,767.89,0.0139,0.00144,1788.63,23056.31,618234.0,0.202,3220736.0,5785.0,1223.72,0.0,2.19
2014-10-31,1001.11,0.0044,769.98,0.0204,0.001,1791.97,23168.59,616381.0,0.202,3221990.0,6322.0,1247.13,0.0,2.24
2014-11-30,1000.55,0.0022,772.07,0.0165,0.00103,1795.32,23281.66,617653.0,0.202,3223244.0,6235.0,1270.82,0.0,2.33
2014-12-31,1000.96,0.0037,774.16,0.0268,0.00076,1798.66,23395.46,622042.0,0.202,3224498.0,5525.0,1294.77,0.0,2.38
2015-01-31,1002.29,0.0087,777.01,0.0284,0.00095,1802.01,23509.91,618232.0,0.203,3225753.0,6454.0,1318.94,0.0,2.39
2015-02-28,1002.38,0.0088,780.35,0.0106,0.00094,1805.35,23624.95,619150.0,0.203,3227007.0,6438.0,1343.31,0.0,2.46
2015-03-31,1002.01,0.0073,783.7,0.0295,0.00081,1808.7,23740.49,625664.0,0.203,3228261.0,5302.0,1367.87,0.0,2.54
2015-04-30,1000.77,0.0028,787.04,0.0281,0.00137,1812.04,23856.47,627713.0,0.204,3229515.0,5059.0,1392.57,0.0,2.65
2015-05-31,1000.15,0.0005,790.38,0.0177,0.00097,1815.38,23972.81,620581.0,0.204,3230769.0,6653.0,1417.41,0.0,2.74
2015-06-30,1001.46,0.0051,793.73,0.0138,0.00082,1818.73,24089.44,619425.0,0.204,3232023.0,7051.0,1442.34,0.0,2.76
